algorithm,variation,accuracy,precision_0,precision_1,recall_0,recall_1,f1-score_0,f1-score_1
Voting Soft opti,StandardScaler + SMOTE + ROC,0.82,0.82,0.94,1.0,0.22,0.9,0.36
ROCKET,sort + TSS + tslearn,0.8,0.8,0.92,1.0,0.15,0.89,0.26
Stacking opti,StandardScaler + SMOTE + ROC,0.84,0.83,0.91,0.99,0.29,0.9,0.44
ROCKET,sort + TSS + MinMaxScaler + tslearn,0.8,0.8,0.89,0.99,0.15,0.89,0.26
XGBoost,StandardScaler + SMOTE + ROC,0.85,0.84,0.88,0.99,0.35,0.91,0.5
Voting hard opti,StandardScaler + SMOTE,0.86,0.86,0.81,0.97,0.45,0.91,0.58
rdf,StandardScaler + SMOTE + ROC,0.86,0.87,0.8,0.97,0.5,0.92,0.61
TSF,sort + TSS,0.82,0.83,0.79,0.98,0.3,0.89,0.43
TSF,sort + TSS,0.82,0.82,0.79,0.98,0.3,0.89,0.43
TSF,sort + TSS + StandardScaler,0.82,0.83,0.77,0.97,0.31,0.89,0.44
TSF,sort + TSS + SMOTE,0.83,0.84,0.75,0.96,0.37,0.9,0.49
DNN,StandardScaler,0.85,0.88,0.73,0.94,0.54,0.91,0.62
rdf,StandardScaler + SMOTE,0.828,0.888,0.67,0.875,0.697,0.882,0.683
TSF,sort + TSS + StandardScaler + SMOTE,0.83,0.87,0.64,0.91,0.54,0.89,0.59
logreg,StandardScaler + SMOTE,0.819,0.91,0.631,0.836,0.773,0.871,0.695
KNN + DTW,sort + TSS + StandardScaler,0.78,0.85,0.51,0.86,0.49,0.86,0.5
KNN + DTW,sort + TSS + MinMaxScaler,0.78,0.85,0.51,0.87,0.47,0.86,0.49
KNN + DTW,sort + TSS + StandardScaler + RandomUnderSampler,0.7,0.89,0.41,0.7,0.71,0.79,0.52
ROCKET,sort + TSS + StandardScaler + RandomUnderSampler + tslearn,0.25,0.99,0.23,0.03,1.0,0.05,0.38
