,Modele,Sampling,Evaluation,accuracy,precision_0 ,recall_0 ,f1_0,precision_1,recall_1,f1_1,f1_macro_avg,f1_weighted_avg
0,logreg,SMOTE,train,78.9,78.3,79.8,79.1,79.4,77.9,78.7,78.9,78.9
1,logreg,SMOTE,test,79.5,92.5,80.1,85.9,52.5,77.2,62.5,74.2,80.7
0,logreg,CC,train,76.4,76.0,77.0,76.5,76.7,75.7,76.2,76.4,76.4
1,logreg,CC,test,78.9,92.1,79.7,85.5,51.6,76.1,61.5,73.5,80.1
0,dt,SMOTE,train,83.1,81.5,85.7,83.5,84.9,80.6,82.7,83.1,83.1
1,dt,SMOTE,test,81.2,90.6,84.6,87.5,56.2,69.1,62.0,74.7,81.8
0,dt,CC,train,82.7,85.0,79.5,82.2,80.8,86.0,83.3,82.7,82.7
1,dt,CC,test,67.4,92.7,63.0,75.0,38.9,82.5,52.8,63.9,70.1
0,rdf,SMOTE,train,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,rdf,SMOTE,test,85.9,90.7,91.2,91.0,68.6,67.1,67.8,79.4,85.8
0,rdf,CC,train,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,rdf,CC,test,72.0,94.9,67.6,79.0,43.4,87.2,58.0,68.5,74.3
0,knn,SMOTE,train,90.2,94.4,85.4,89.7,86.7,94.9,90.6,90.2,90.2
1,knn,SMOTE,test,80.5,91.9,82.2,86.8,54.4,74.7,63.0,74.9,81.5
0,knn,CC,train,82.0,79.4,86.4,82.8,85.1,77.7,81.2,82.0,82.0
1,knn,CC,test,81.8,91.8,84.2,87.8,57.0,73.6,64.2,76.0,82.6
